   ============================== 
=== Suspicious Behavior (432 Cases) === 
   ==============================


melaina.gabeline@yahoo.com.mx	7
		00:16:25	login		mailserver.local
		06:10:23	logout			mailserver.local
		08:20:10	login		mailserver.local
		16:36:09	logout			myworkstation.local
	DATE: [2020-05-30] ---
		02:55:35	login		webserver.local
		03:37:01	logout			myworkstation.local
		18:38:21	logout			myworkstation.local


daysha.telleria@freesurf.fr	8
	DATE: [2020-05-02] ---
		03:43:48	login		myworkstation.local
		06:39:01	login		webserver.local
		11:53:52	logout			myworkstation.local
		16:46:40	logout			mailserver.local
	DATE: [2020-05-03] ---
		04:15:46	login		mailserver.local
	DATE: [2020-05-05] ---
		02:01:18	login		webserver.local
		10:11:27	login		webserver.local
		18:38:34	login		mailserver.local
		23:27:09	logout			webserver.local
	DATE: [2020-05-13] ---
		02:54:46	login		webserver.local
		06:22:46	login		myworkstation.local
		19:57:48	login		mailserver.local
		20:52:36	login		webserver.local
		22:52:50	login		mailserver.local
	DATE: [2020-05-20] ---
		00:06:48	login		myworkstation.local
		01:57:13	logout			myworkstation.local
		10:05:19	logout			webserver.local
		17:59:14	logout			mailserver.local
	DATE: [2020-05-21] ---
		00:42:30	login		mailserver.local
		01:44:32	login		myworkstation.local
		09:25:14	login		webserver.local
		21:42:43	logout			webserver.local
	DATE: [2020-05-24] ---
		01:03:35	login		webserver.local
		06:46:35	login		myworkstation.local
		07:16:15	logout			webserver.local
		12:07:43	logout			webserver.local
	DATE: [2020-05-30] ---
		03:32:47	login		mailserver.local
		05:01:57	login		myworkstation.local
		05:09:22	login		webserver.local
		15:33:33	login		myworkstation.local
		16:34:49	login		mailserver.local


daysha.hillebrand@quiklinks.com	6
	DATE: [2020-05-01] ---
		02:38:31	logout			mailserver.local
		03:50:38	login		webserver.local
		20:58:15	logout			webserver.local
	DATE: [2020-05-06] ---
		02:28:34	login		mailserver.local
		08:28:10	login		webserver.local
		19:10:56	login		webserver.local
	DATE: [2020-05-08] ---
		02:36:38	login		mailserver.local
		11:44:10	login		myworkstation.local
		17:58:02	logout			mailserver.local
		19:08:59	login		mailserver.local
	DATE: [2020-05-14] ---
		01:55:21	login		myworkstation.local
		03:15:37	logout			mailserver.local
		07:32:42	logout			webserver.local
		09:54:50	logout			myworkstation.local
		17:43:27	logout			myworkstation.local
	DATE: [2020-05-19] ---
		00:30:32	login		webserver.local
		05:01:56	logout			myworkstation.local
		06:59:59	logout			webserver.local
		07:18:42	login		myworkstation.local
	DATE: [2020-05-26] ---
		02:08:55	login		webserver.local
		21:14:10	logout			mailserver.local
		23:21:50	login		myworkstation.local


maximiliano.mancell@spacemart.com	11
	DATE: [2020-05-01] ---
		03:09:43	login		webserver.local
		04:51:28	login		myworkstation.local
		08:51:14	logout			myworkstation.local
		13:47:47	logout			webserver.local
		22:01:10	login		webserver.local
	DATE: [2020-05-08] ---
		02:20:10	login		myworkstation.local
		13:01:36	logout			myworkstation.local
		22:48:53	logout			myworkstation.local
	DATE: [2020-05-11] ---
		04:32:16	login		mailserver.local
		16:55:59	logout			webserver.local
		21:48:15	logout			myworkstation.local
	DATE: [2020-05-12] ---
		02:39:16	login		mailserver.local
		03:40:24	logout			webserver.local
		04:50:52	login		myworkstation.local
		07:58:26	login		myworkstation.local
		08:27:59	logout			webserver.local
		16:37:12	login		webserver.local
		21:28:41	logout			myworkstation.local
	DATE: [2020-05-15] ---
		01:33:50	login		webserver.local
		09:21:35	logout			webserver.local
		09:22:35	login		mailserver.local
		10:16:11	login		myworkstation.local
		17:50:47	logout			mailserver.local
		22:33:44	logout			myworkstation.local
	DATE: [2020-05-16] ---
		01:20:48	logout			mailserver.local
		01:40:09	login		myworkstation.local
		01:51:56	logout			myworkstation.local
		06:11:01	login		mailserver.local
		09:04:49	login		webserver.local
		16:23:23	logout			myworkstation.local
		17:16:42	login		mailserver.local
		17:46:28	login		mailserver.local
	DATE: [2020-05-17] ---
		01:06:59	login		myworkstation.local
		07:55:06	logout			webserver.local
		11:29:14	login		webserver.local
		15:15:52	logout			mailserver.local
		18:10:07	login		webserver.local
	DATE: [2020-05-18] ---
		01:24:23	login		myworkstation.local
		04:04:53	login		mailserver.local
		08:47:48	logout			myworkstation.local
		14:09:19	logout			webserver.local
	DATE: [2020-05-19] ---
		04:45:42	login		myworkstation.local
		07:09:14	login		myworkstation.local
		18:45:22	logout			myworkstation.local
		19:32:28	login		myworkstation.local
		23:31:26	login		mailserver.local
	DATE: [2020-05-25] ---
		03:20:37	login		mailserver.local
		07:36:41	login		mailserver.local
		13:56:38	logout			webserver.local
		15:26:27	logout			webserver.local
	DATE: [2020-05-27] ---
		02:02:59	logout			webserver.local
		04:47:17	login		myworkstation.local
		07:20:13	logout			mailserver.local
		17:23:25	logout			myworkstation.local


sherriann.goelz@spacemart.com	6
	DATE: [2020-05-02] ---
		00:01:50	login		myworkstation.local
		03:51:59	login		mailserver.local
		05:41:10	logout			mailserver.local
		06:49:54	login		mailserver.local
		13:57:05	logout			myworkstation.local
		14:32:58	logout			myworkstation.local
	DATE: [2020-05-03] ---
		02:53:42	login		myworkstation.local
		03:16:50	login		webserver.local
		04:30:28	logout			mailserver.local
		10:07:20	logout			myworkstation.local
		19:13:47	login		mailserver.local
		19:14:22	login		webserver.local
	DATE: [2020-05-04] ---
		04:39:55	login		myworkstation.local
		22:25:24	login		webserver.local
	DATE: [2020-05-12] ---
		01:11:24	login		webserver.local
		03:39:30	logout			webserver.local
		08:08:27	login		myworkstation.local
	DATE: [2020-05-20] ---
		05:21:20	login		myworkstation.local
		07:48:08	login		mailserver.local
		13:35:29	login		webserver.local
		14:20:59	login		mailserver.local
		18:02:24	login		myworkstation.local
		20:10:56	login		mailserver.local
		21:55:26	logout			webserver.local
	DATE: [2020-05-30] ---
		00:44:43	login		myworkstation.local
		12:02:47	logout			webserver.local
		13:14:07	login		webserver.local
		14:12:46	logout			myworkstation.local
		16:26:44	logout			mailserver.local
		22:49:37	login		webserver.local


miguel.fragman@yahoo.com.mx	7
	DATE: [2020-05-04] ---
		04:59:59	login		mailserver.local
		05:32:48	logout			webserver.local
	DATE: [2020-05-07] ---
		04:55:05	login		webserver.local
		14:12:30	login		mailserver.local
		16:16:59	login		webserver.local
		16:57:20	logout			webserver.local
		21:44:30	logout			mailserver.local
		22:33:47	logout			mailserver.local
		23:25:50	login		webserver.local
	DATE: [2020-05-10] ---
		00:12:57	login		webserver.local
	DATE: [2020-05-23] ---
		03:45:37	login		myworkstation.local
		22:20:36	login		mailserver.local
	DATE: [2020-05-25] ---
		02:27:03	login		myworkstation.local
		08:27:11	login		mailserver.local
		15:06:20	logout			webserver.local
		17:48:35	logout			mailserver.local
	DATE: [2020-05-26] ---
		04:50:23	login		webserver.local
		12:22:00	login		webserver.local
		23:40:04	logout			myworkstation.local
	DATE: [2020-05-29] ---
		04:39:29	login		webserver.local
		07:20:54	login		webserver.local
		08:37:45	login		mailserver.local


maryelizabeth.ryba@freesurf.fr	8
	DATE: [2020-05-03] ---
		02:29:25	login		myworkstation.local
		08:17:13	login		myworkstation.local
		08:40:35	login		mailserver.local
	DATE: [2020-05-06] ---
		03:24:17	login		mailserver.local
		03:47:25	login		myworkstation.local
		10:00:50	login		webserver.local
		13:37:08	login		myworkstation.local
	DATE: [2020-05-13] ---
		00:38:31	login		webserver.local
		01:21:40	login		webserver.local
		06:37:20	login		mailserver.local
		09:33:02	logout			mailserver.local
	DATE: [2020-05-16] ---
		01:24:16	login		myworkstation.local
		06:09:51	login		webserver.local
		09:16:29	login		mailserver.local
	DATE: [2020-05-18] ---
		03:01:38	login		webserver.local
		08:25:51	logout			mailserver.local
		20:27:29	login		webserver.local
	DATE: [2020-05-19] ---
		00:34:32	login		myworkstation.local
		00:55:28	logout			webserver.local
		01:30:33	logout			mailserver.local
		06:30:51	login		mailserver.local
		16:21:27	logout			webserver.local
		19:22:43	logout			webserver.local
	DATE: [2020-05-24] ---
		00:29:12	login		myworkstation.local
		02:30:25	login		myworkstation.local
		05:00:41	login		myworkstation.local
		07:16:45	logout			mailserver.local
		17:10:40	login		mailserver.local
		21:18:46	logout			mailserver.local
	DATE: [2020-05-27] ---
		00:15:44	login		webserver.local
		01:54:32	login		webserver.local
		06:06:51	logout			mailserver.local
		19:47:09	logout			webserver.local
		22:09:41	login		myworkstation.local


kirsten.pflughoeft@mail2srilanka.com	7
	DATE: [2020-05-03] ---
		07:33:32	login		webserver.local
		09:29:27	login		myworkstation.local
		10:10:54	logout			mailserver.local
		13:22:02	login		mailserver.local
		15:40:16	login		webserver.local
		16:54:22	login		webserver.local
		20:39:08	login		mailserver.local
		22:09:15	logout			myworkstation.local
		23:59:20	login		mailserver.local
	DATE: [2020-05-04] ---
		01:34:10	login		webserver.local
		01:46:26	login		mailserver.local
		03:54:25	login		mailserver.local
		10:28:53	logout			myworkstation.local
		14:00:27	logout			myworkstation.local
		19:14:31	login		mailserver.local
		23:08:36	login		webserver.local
	DATE: [2020-05-07] ---
		03:25:21	login		mailserver.local
	DATE: [2020-05-12] ---
		04:52:09	login		mailserver.local
		07:29:19	logout			myworkstation.local
		07:49:25	login		myworkstation.local
		10:50:26	logout			myworkstation.local
		17:04:39	logout			myworkstation.local
		19:51:43	logout			webserver.local
	DATE: [2020-05-17] ---
		02:26:00	login		mailserver.local
		08:58:53	logout			webserver.local
		12:11:34	logout			webserver.local
		18:10:14	logout			webserver.local
		21:46:26	login		myworkstation.local
	DATE: [2020-05-20] ---
		00:11:21	login		webserver.local
		01:20:30	login		mailserver.local
		01:33:44	login		myworkstation.local
		14:16:38	login		webserver.local
		18:14:01	logout			mailserver.local
	DATE: [2020-05-30] ---
		01:45:17	login		webserver.local


mieko.alcosiba@quiklinks.com	9
	DATE: [2020-05-02] ---
		02:04:25	login		mailserver.local
		05:12:47	logout			webserver.local
		14:48:50	login		webserver.local
		14:49:24	login		mailserver.local
		19:17:56	login		mailserver.local
		23:51:50	login		mailserver.local
	DATE: [2020-05-05] ---
		02:35:02	login		mailserver.local
		02:52:37	logout			mailserver.local
		03:25:54	login		webserver.local
		10:34:35	login		myworkstation.local
	DATE: [2020-05-06] ---
		01:01:37	login		mailserver.local
		02:36:02	logout			mailserver.local
		07:07:33	login		myworkstation.local
		07:11:16	login		webserver.local
		08:25:43	login		mailserver.local
		23:56:41	login		myworkstation.local
	DATE: [2020-05-13] ---
		03:38:57	login		myworkstation.local
		06:43:31	login		myworkstation.local
		15:11:34	logout			myworkstation.local
		18:07:56	login		myworkstation.local
		19:43:29	login		myworkstation.local
	DATE: [2020-05-14] ---
		02:41:54	login		myworkstation.local
		04:21:07	login		mailserver.local
		04:33:22	logout			webserver.local
		06:26:38	login		mailserver.local
		10:19:59	logout			webserver.local
	DATE: [2020-05-16] ---
		00:16:11	login		myworkstation.local
		19:03:07	logout			myworkstation.local
		21:49:43	logout			webserver.local
		22:05:55	logout			myworkstation.local
	DATE: [2020-05-18] ---
		00:24:03	logout			mailserver.local
		03:08:57	login		myworkstation.local
		07:14:35	login		mailserver.local
		15:14:39	logout			webserver.local
		18:25:58	logout			myworkstation.local
		21:21:59	logout			webserver.local
		22:32:53	logout			mailserver.local
	DATE: [2020-05-24] ---
		02:14:54	login		myworkstation.local
		09:56:58	logout			webserver.local
		10:35:41	login		webserver.local
		15:35:07	login		mailserver.local
	DATE: [2020-05-28] ---
		04:21:02	login		webserver.local
		07:07:59	login		webserver.local
		07:35:47	logout			mailserver.local


ronica.thistle@freesurf.fr	13
	DATE: [2020-05-01] ---
		03:04:11	logout			webserver.local
		03:32:42	login		webserver.local
		09:40:04	logout			webserver.local
	DATE: [2020-05-03] ---
		01:56:50	login		mailserver.local
		11:35:05	login		myworkstation.local
		16:02:14	login		webserver.local
		19:45:57	login		webserver.local
		19:51:06	login		mailserver.local
	DATE: [2020-05-06] ---
		02:24:21	login		mailserver.local
		05:35:54	login		mailserver.local
	DATE: [2020-05-07] ---
		02:26:44	login		myworkstation.local
		09:54:06	logout			mailserver.local
		23:17:28	login		webserver.local
	DATE: [2020-05-08] ---
		00:56:25	login		webserver.local
		09:28:53	logout			mailserver.local
		14:38:15	logout			myworkstation.local
	DATE: [2020-05-09] ---
		01:57:24	login		myworkstation.local
		06:12:55	login		mailserver.local
		07:04:54	logout			mailserver.local
		21:09:44	logout			webserver.local
		21:34:56	logout			webserver.local
		23:32:28	logout			webserver.local
	DATE: [2020-05-11] ---
		03:44:32	login		webserver.local
		08:34:19	logout			myworkstation.local
		11:54:58	logout			webserver.local
		13:14:11	login		mailserver.local
		16:23:33	logout			myworkstation.local
		20:37:41	logout			myworkstation.local
	DATE: [2020-05-13] ---
		01:54:50	login		mailserver.local
		02:18:19	logout			myworkstation.local
		05:36:03	login		webserver.local
		21:47:12	logout			mailserver.local
	DATE: [2020-05-14] ---
		03:53:44	login		webserver.local
		12:04:19	logout			mailserver.local
		22:56:47	login		mailserver.local
	DATE: [2020-05-20] ---
		04:15:46	login		webserver.local
		12:05:13	login		webserver.local
		13:35:47	logout			myworkstation.local
		14:36:11	logout			mailserver.local
		14:38:31	login		myworkstation.local
		20:57:10	logout			myworkstation.local
		21:33:40	login		myworkstation.local
	DATE: [2020-05-22] ---
		00:47:50	login		myworkstation.local
		07:41:52	logout			webserver.local
		09:02:20	login		webserver.local
	DATE: [2020-05-25] ---
		02:31:59	logout			mailserver.local
		03:33:44	login		myworkstation.local
		18:55:03	login		webserver.local
		21:26:43	logout			myworkstation.local
	DATE: [2020-05-30] ---
		01:27:27	login		myworkstation.local
		09:39:12	login		webserver.local


queen.sirucek@mail2emergency.com	9
	DATE: [2020-05-01] ---
		02:58:02	login		myworkstation.local
		13:16:29	login		mailserver.local
		17:19:21	logout			webserver.local
		23:35:36	login		webserver.local
	DATE: [2020-05-04] ---
		01:15:20	login		mailserver.local
		04:41:56	logout			webserver.local
		06:41:12	logout			webserver.local
		11:37:24	login		mailserver.local
		16:08:27	logout			mailserver.local
		21:54:42	login		mailserver.local
		23:52:03	logout			mailserver.local
	DATE: [2020-05-06] ---
		01:34:45	login		webserver.local
		08:47:31	login		myworkstation.local
		09:59:18	logout			myworkstation.local
		20:35:33	login		myworkstation.local
	DATE: [2020-05-08] ---
		01:34:55	logout			webserver.local
		04:25:04	login		mailserver.local
		10:55:09	login		mailserver.local
	DATE: [2020-05-10] ---
		04:49:26	login		webserver.local
		15:32:41	logout			mailserver.local
		23:18:01	logout			webserver.local
	DATE: [2020-05-14] ---
		00:16:25	login		myworkstation.local
		10:12:57	login		mailserver.local
		10:47:04	logout			webserver.local
	DATE: [2020-05-23] ---
		04:50:07	login		mailserver.local
		06:59:41	login		mailserver.local
		10:27:39	logout			mailserver.local
		13:16:54	logout			webserver.local
		18:04:45	logout			webserver.local
	DATE: [2020-05-24] ---
		00:07:31	logout			mailserver.local
		03:38:36	login		webserver.local
		04:36:52	logout			webserver.local
		11:16:07	logout			myworkstation.local
		14:49:53	logout			myworkstation.local
	DATE: [2020-05-25] ---
		01:55:51	login		myworkstation.local
		15:19:59	logout			myworkstation.local
		17:10:15	login		mailserver.local
		19:35:21	login		mailserver.local


dalilah.ulatowski@angelfan.com	11
	DATE: [2020-05-02] ---
		03:47:04	login		webserver.local
		21:37:25	login		myworkstation.local
	DATE: [2020-05-03] ---
		04:58:27	login		myworkstation.local
		14:15:00	logout			myworkstation.local
		19:11:51	login		myworkstation.local
		20:36:58	login		webserver.local
	DATE: [2020-05-08] ---
		03:15:31	login		myworkstation.local
		06:07:50	logout			webserver.local
		07:45:16	login		webserver.local
		12:51:07	login		myworkstation.local
		13:59:22	login		myworkstation.local
		22:30:04	login		mailserver.local
	DATE: [2020-05-11] ---
		03:55:53	login		myworkstation.local
		05:59:20	logout			mailserver.local
		12:01:18	login		myworkstation.local
		12:31:08	logout			webserver.local
		12:38:58	login		webserver.local
	DATE: [2020-05-12] ---
		02:59:53	logout			mailserver.local
		03:10:09	login		mailserver.local
		06:20:14	logout			webserver.local
		09:22:09	login		mailserver.local
	DATE: [2020-05-13] ---
		02:41:56	login		webserver.local
		06:35:49	logout			mailserver.local
	DATE: [2020-05-14] ---
		03:34:53	logout			myworkstation.local
		04:03:34	login		myworkstation.local
		18:43:33	logout			webserver.local
	DATE: [2020-05-19] ---
		04:54:38	login		webserver.local
		11:33:03	logout			webserver.local
		14:21:57	logout			webserver.local
	DATE: [2020-05-21] ---
		00:53:16	login		mailserver.local
		01:51:56	logout			mailserver.local
		06:09:10	login		webserver.local
		08:44:36	logout			mailserver.local
		18:18:15	logout			mailserver.local
	DATE: [2020-05-28] ---
		03:16:23	login		myworkstation.local
		21:06:01	login		webserver.local
		22:27:03	logout			mailserver.local
	DATE: [2020-05-30] ---
		03:59:10	login		mailserver.local
		07:57:19	logout			mailserver.local
		09:48:37	login		myworkstation.local
		10:23:06	login		webserver.local
		12:36:24	login		mailserver.local
		16:04:39	login		myworkstation.local
		17:13:00	login		webserver.local
		22:40:48	login		myworkstation.local


rayon.crumly@mail2champaign.com	5
	DATE: [2020-05-09] ---
		02:53:20	login		mailserver.local
		15:56:17	logout			myworkstation.local
	DATE: [2020-05-10] ---
		01:29:10	logout			webserver.local
		04:07:10	login		mailserver.local
	DATE: [2020-05-23] ---
		00:54:20	login		myworkstation.local
		03:57:42	login		webserver.local
		18:23:33	logout			webserver.local
	DATE: [2020-05-25] ---
		02:26:21	login		myworkstation.local
		18:57:22	logout			myworkstation.local
		20:48:59	logout			myworkstation.local
	DATE: [2020-05-29] ---
		04:01:34	login		webserver.local
		16:29:32	login		mailserver.local


melaina.valencia@gmx.net	7
	DATE: [2020-05-01] ---
		02:14:27	login		myworkstation.local
		08:21:28	login		mailserver.local
		22:00:36	login		mailserver.local
	DATE: [2020-05-02] ---
		03:51:53	login		myworkstation.local
		11:35:36	logout			mailserver.local
		19:54:54	logout			webserver.local
		21:11:51	logout			myworkstation.local
		21:15:51	logout			myworkstation.local
		23:09:31	logout			myworkstation.local
	DATE: [2020-05-07] ---
		01:32:25	login		mailserver.local
		05:02:33	logout			mailserver.local
		05:36:42	logout			webserver.local
		12:40:32	login		webserver.local
		17:22:03	login		webserver.local
		19:40:35	login		mailserver.local
	DATE: [2020-05-12] ---
		04:04:54	login		mailserver.local
		14:08:41	login		webserver.local
		15:53:12	logout			webserver.local
		19:40:48	login		mailserver.local
	DATE: [2020-05-15] ---
		00:24:02	login		webserver.local
		05:41:38	login		myworkstation.local
		22:35:40	login		mailserver.local
	DATE: [2020-05-22] ---
		02:09:21	login		mailserver.local
		02:23:55	logout			mailserver.local
		11:02:14	logout			webserver.local
		13:49:48	login		webserver.local
		18:55:33	login		webserver.local
	DATE: [2020-05-29] ---
		02:27:33	login		webserver.local
		05:56:32	logout			myworkstation.local
		07:07:36	logout			myworkstation.local
		13:03:48	login		myworkstation.local
		14:46:36	logout			webserver.local


aubrea.corridoni@yahoo.com.mx	7
	DATE: [2020-05-06] ---
		00:36:36	login		mailserver.local
		02:36:27	logout			myworkstation.local
		09:07:14	login		mailserver.local
		12:34:27	logout			mailserver.local
		15:49:43	login		mailserver.local
		21:24:05	login		myworkstation.local
	DATE: [2020-05-07] ---
		04:17:56	login		webserver.local
		17:13:32	login		webserver.local
	DATE: [2020-05-09] ---
		04:13:37	login		webserver.local
		09:21:52	logout			mailserver.local
		11:32:53	login		myworkstation.local
	DATE: [2020-05-13] ---
		00:38:07	login		mailserver.local
		12:31:36	logout			webserver.local
	DATE: [2020-05-16] ---
		03:50:02	login		mailserver.local
		03:53:24	logout			webserver.local
		18:40:49	login		myworkstation.local
		20:49:25	login		webserver.local
		22:15:15	logout			webserver.local
	DATE: [2020-05-22] ---
		03:09:00	login		myworkstation.local
		13:05:20	login		myworkstation.local
	DATE: [2020-05-24] ---
		02:33:53	login		webserver.local
		05:15:13	login		webserver.local
		13:29:08	login		mailserver.local
